id,full_name,first_name,last_name,position,primary_position,jersey_number,sr_id,reference,total.games_played,total.games_started,total.minutes,total.field_goals_made,total.field_goals_att,total.field_goals_pct,total.two_points_made,total.two_points_att,total.two_points_pct,total.three_points_made,total.three_points_att,total.three_points_pct,total.blocked_att,total.free_throws_made,total.free_throws_att,total.free_throws_pct,total.offensive_rebounds,total.defensive_rebounds,total.rebounds,total.assists,total.turnovers,total.assists_turnover_ratio,total.steals,total.blocks,total.personal_fouls,total.tech_fouls,total.points,total.flagrant_fouls,total.ejections,total.foulouts,total.tech_fouls_non_unsportsmanlike,total.true_shooting_att,total.true_shooting_pct,total.efficiency,total.field_goals_at_rim_made,total.field_goals_at_rim_att,total.field_goals_at_rim_pct,total.field_goals_at_midrange_made,total.field_goals_at_midrange_att,total.field_goals_at_midrange_pct,total.usage_pct,total.points_off_turnovers,total.points_in_paint,total.points_in_paint_made,total.points_in_paint_att,total.points_in_paint_pct,total.effective_fg_pct,total.double_doubles,total.triple_doubles,total.fouls_drawn,total.offensive_fouls,total.fast_break_pts,total.fast_break_att,total.fast_break_made,total.fast_break_pct,total.coach_ejections,total.second_chance_pct,total.second_chance_pts,total.second_chance_att,total.second_chance_made,total.minus,total.plus,total.coach_tech_fouls,average.minutes,average.points,average.off_rebounds,average.def_rebounds,average.rebounds,average.assists,average.steals,average.blocks,average.turnovers,average.personal_fouls,average.flagrant_fouls,average.blocked_att,average.field_goals_made,average.field_goals_att,average.three_points_made,average.three_points_att,average.free_throws_made,average.free_throws_att,average.two_points_made,average.two_points_att,average.efficiency,average.true_shooting_att,average.points_off_turnovers,average.points_in_paint_made,average.points_in_paint_att,average.points_in_paint,average.fouls_drawn,average.offensive_fouls,average.fast_break_pts,average.fast_break_att,average.fast_break_made,average.second_chance_pts,average.second_chance_att,average.second_chance_made,name_suffix
030424b9-7367-45e1-b9d4-c8dee3a89e53,Thomas Bryant,Thomas,Bryant,C-F,C,31,sr:player:1142594,1628418,41,25,876.0,197,301,0.654,175,251,0.697,22,50,0.44,28,80,108,0.741,67,212,279,29,28,1.04,14,23,77,0,496,1,0,0,0,348.52,0.712,681,114,140,0.814,15,32,0.469,18.25,73,320,160,219,0.731,0.691,9,0,81,8,68,39,32,0.821,0,0.698,95,53,37,2192,2156,0,21.4,12.1,1.63,5.17,6.8,0.7,0.34,0.56,0.68,1.88,0.02,0.68,4.8,7.34,0.54,1.22,1.95,2.63,4.27,6.12,16.61,8.5,1.78,3.9,5.34,7.8,1.98,0.2,1.66,0.95,0.78,2.32,1.29,0.9,
042f45b2-1dda-4dce-a5ba-1e8b923178c1,Matt Ryan,Matt,Ryan,F,SF,37,sr:player:1158584,1630346,12,0,129.0,15,49,0.306,2,14,0.143,13,35,0.371,0,4,5,0.8,2,12,14,4,3,1.33,2,0,14,0,47,0,0,0,0,51.2,0.459,29,0,0,0.0,2,12,0.167,17.84,0,0,0,2,0.0,0.439,0,0,5,1,3,3,1,0.333,0,1.0,10,3,3,292,292,0,10.8,3.9,0.17,1.0,1.17,0.3,0.17,0.0,0.25,1.17,0.0,0.0,1.25,4.08,1.08,2.92,0.33,0.42,0.17,1.17,2.42,4.27,0.0,0.0,0.17,0.0,0.42,0.08,0.25,0.25,0.08,0.83,0.25,0.25,
0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron James,LeBron,James,F,SF,23,sr:player:608028,2544,55,54,1954.0,609,1219,0.5,488,842,0.58,121,377,0.321,47,251,327,0.768,65,392,457,375,178,2.11,50,32,88,1,1590,0,0,0,0,1362.88,0.583,1640,322,419,0.768,73,200,0.365,33.49,195,828,414,633,0.654,0.549,18,2,273,27,343,210,138,0.657,0,0.508,149,122,62,4650,4864,0,35.5,28.9,1.18,7.13,8.31,6.8,0.91,0.58,3.24,1.6,0.0,0.85,11.07,22.16,2.2,6.85,4.56,5.95,8.87,15.31,29.82,24.78,3.55,7.53,11.51,15.05,4.96,0.49,6.24,3.82,2.51,2.71,2.22,1.13,
0b79911f-cd24-46d1-9b05-49fe937aa75e,Jarred Vanderbilt,Jarred,Vanderbilt,F,PF,2,sr:player:1499589,1629020,26,24,625.0,74,140,0.529,64,107,0.598,10,33,0.303,9,29,37,0.784,49,124,173,42,29,1.45,30,6,57,1,187,0,0,0,0,156.28,0.598,335,53,86,0.616,2,3,0.667,12.59,32,126,63,105,0.6,0.564,3,0,46,1,23,19,9,0.474,0,0.48,28,25,12,1506,1473,0,24.0,7.2,1.88,4.77,6.65,1.6,1.15,0.23,1.12,2.19,0.0,0.35,2.85,5.38,0.38,1.27,1.12,1.42,2.46,4.12,12.88,6.01,1.23,2.42,4.04,4.85,1.77,0.04,0.88,0.73,0.35,1.08,0.96,0.46,
2bf24df1-604d-4eca-b3f3-f5691f4b99b6,Wenyen Gabriel,Wenyen,Gabriel,F,PF,,sr:player:1159096,1629117,68,2,1024.0,155,260,0.596,145,224,0.647,10,36,0.278,18,52,84,0.619,116,170,286,36,46,0.78,26,35,144,0,372,1,0,2,0,296.96,0.626,572,109,156,0.699,1,4,0.25,14.22,45,288,144,220,0.655,0.615,0,0,91,21,20,10,9,0.9,0,0.634,107,71,45,2483,2451,0,15.1,5.5,1.71,2.5,4.21,0.5,0.38,0.51,0.68,2.12,0.01,0.26,2.28,3.82,0.15,0.53,0.76,1.24,2.13,3.29,8.41,4.37,0.66,2.12,3.24,4.24,1.34,0.31,0.29,0.15,0.13,1.57,1.04,0.66,
2c04ab46-c23c-4df8-a748-15f0e35e4e8b,Sterling Brown,Sterling,Brown,G,SG,,sr:player:1142682,1628425,4,0,24.0,0,4,0.0,0,2,0.0,0,2,0.0,1,0,0,0.0,3,5,8,2,0,0.0,3,0,4,0,0,0,0,0,0,4.0,0.0,9,0,2,0.0,0,0,0.0,7.08,0,0,0,2,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1,0,67,63,0,6.0,0.0,0.75,1.25,2.0,0.5,0.75,0.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,2.25,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,
335097c3-7919-49d5-80b0-8062d5d3e89c,Tristan Thompson,Tristan,Thompson,F,PF,,sr:player:607290,202684,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44231f84-c69d-440d-9287-e210d4ce1672,Damian Jones,Damian,Jones,C,C,,sr:player:996313,1627745,22,1,176.0,20,37,0.541,20,34,0.588,0,3,0.0,6,15,20,0.75,18,37,55,4,9,0.44,3,12,17,0,55,0,0,0,0,45.8,0.6,98,16,24,0.667,1,1,1.0,13.22,12,38,19,33,0.576,0.541,1,0,19,3,4,2,2,1.0,0,0.857,18,7,6,409,375,0,8.0,2.5,0.82,1.68,2.5,0.2,0.14,0.55,0.41,0.77,0.0,0.27,0.91,1.68,0.0,0.14,0.68,0.91,0.91,1.55,4.45,2.08,0.55,0.86,1.5,1.73,0.86,0.14,0.18,0.09,0.09,0.82,0.32,0.27,
474b716b-2dc2-4a2d-ade1-7b3b061b88da,Davon Reed,Davon,Reed,G,SG,,sr:player:1142684,1628432,8,0,27.0,3,4,0.75,2,2,1.0,1,2,0.5,0,1,4,0.25,1,3,4,4,0,0.0,2,0,3,0,8,0,0,0,0,5.76,0.694,14,1,1,1.0,1,1,1.0,9.06,0,2,1,1,1.0,0.875,0,0,2,0,0,0,0,0.0,0,0.0,0,0,0,70,64,0,3.4,1.0,0.13,0.38,0.5,0.5,0.25,0.0,0.0,0.38,0.0,0.0,0.38,0.5,0.13,0.25,0.13,0.5,0.25,0.25,1.75,0.72,0.0,0.13,0.13,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5350a897-aa31-4510-8feb-e709e1feb844,Troy Brown Jr.,Troy,Brown,F,SF,,sr:player:1320578,1628972,76,45,1860.0,200,465,0.43,93,184,0.505,107,281,0.381,30,34,39,0.872,62,246,308,95,49,1.94,59,16,120,1,541,0,0,0,0,482.16,0.561,700,63,91,0.692,14,35,0.4,12.13,35,158,79,149,0.53,0.545,2,0,44,5,71,53,31,0.585,0,0.279,30,43,12,4449,4434,0,24.5,7.1,0.82,3.24,4.05,1.3,0.78,0.21,0.64,1.58,0.0,0.39,2.63,6.12,1.41,3.7,0.45,0.51,1.22,2.42,9.21,6.34,0.46,1.04,1.96,2.08,0.58,0.07,0.93,0.7,0.41,0.39,0.57,0.16,Jr.
5bfc9a4c-deb7-4f37-a784-5d99ada863cb,Rui Hachimura,Rui,Hachimura,F,PF,28,sr:player:1170310,1629060,33,9,738.0,126,260,0.485,105,189,0.556,21,71,0.296,18,44,61,0.721,34,121,155,23,17,1.35,8,14,33,0,317,0,0,0,0,286.84,0.553,349,55,83,0.663,26,54,0.481,17.48,33,158,79,134,0.59,0.525,1,0,41,5,60,38,24,0.632,0,0.483,36,29,14,1729,1770,0,22.4,9.6,1.03,3.67,4.7,0.7,0.24,0.42,0.52,1.0,0.0,0.55,3.82,7.88,0.64,2.15,1.33,1.85,3.18,5.73,10.58,8.69,1.0,2.39,4.06,4.79,1.24,0.15,1.82,1.15,0.73,1.09,0.88,0.42,
73e01c06-7df1-4190-8c5d-62453c66b9bc,Shaquille Harrison,Shaquille,Harrison,G,SG,,sr:player:1174770,1627885,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
74a45eed-f2b0-4886-ae71-d04cf7d59528,Russell Westbrook,Russell,Westbrook,G,PG,4,sr:player:607340,201566,52,3,1491.0,304,729,0.417,241,516,0.467,63,213,0.296,66,156,238,0.655,59,262,321,391,184,2.13,53,23,121,7,827,2,0,0,0,833.72,0.496,924,152,252,0.603,32,101,0.317,28.99,89,418,209,414,0.505,0.46,17,4,153,11,92,71,36,0.507,0,0.422,76,64,27,3760,3716,0,28.7,15.9,1.13,5.04,6.17,7.5,1.02,0.44,3.54,2.33,0.04,1.27,5.85,14.02,1.21,4.1,3.0,4.58,4.63,9.92,17.77,16.03,1.71,4.02,7.96,8.04,2.94,0.21,1.77,1.37,0.69,1.46,1.23,0.52,
912e7aa3-dd03-4a98-9980-0442e108f287,Patrick Beverley,Patrick,Beverley,G,PG,,sr:player:607472,201976,45,45,1211.0,97,241,0.402,42,83,0.506,55,158,0.348,9,39,50,0.78,24,116,140,118,42,2.81,40,25,124,10,288,0,1,0,0,263.0,0.548,414,19,29,0.655,5,8,0.625,10.7,21,76,38,76,0.5,0.517,0,0,64,4,26,24,10,0.417,0,0.267,10,15,4,2957,2867,0,26.9,6.4,0.53,2.58,3.11,2.6,0.89,0.56,0.93,2.76,0.0,0.2,2.16,5.36,1.22,3.51,0.87,1.11,0.93,1.84,9.2,5.84,0.47,0.84,1.69,1.69,1.42,0.09,0.58,0.53,0.22,0.22,0.33,0.09,
a2c6a907-282f-4172-9d60-42d03987da0e,Dennis Schroder,Dennis,Schroder,G,PG,17,sr:player:607388,203471,66,50,1986.0,270,650,0.415,196,425,0.461,74,225,0.329,45,216,252,0.857,21,144,165,298,112,2.66,50,10,145,6,830,0,0,2,0,760.88,0.545,825,64,118,0.542,52,125,0.416,18.67,76,282,141,295,0.478,0.472,2,0,188,8,75,53,28,0.528,0,0.465,59,43,20,4723,4848,0,30.1,12.6,0.32,2.18,2.5,4.5,0.76,0.15,1.7,2.2,0.0,0.68,4.09,9.85,1.12,3.41,3.27,3.82,2.97,6.44,12.5,11.53,1.15,2.14,4.47,4.27,2.85,0.12,1.14,0.8,0.42,0.89,0.65,0.3,
a6bf9402-7f41-49a9-ab28-fe0bdffb5060,Mo Bamba,Mo,Bamba,C,C,4,sr:player:1427411,1628964,9,1,88.0,11,27,0.407,6,11,0.545,5,16,0.313,2,6,11,0.545,11,30,41,4,8,0.5,1,5,19,0,33,0,0,1,0,31.84,0.518,55,6,9,0.667,0,0,0.0,19.23,0,12,6,11,0.545,0.5,1,0,7,4,2,2,1,0.5,0,0.5,9,8,4,199,190,0,9.8,3.7,1.22,3.33,4.56,0.4,0.11,0.56,0.89,2.11,0.0,0.22,1.22,3.0,0.56,1.78,0.67,1.22,0.67,1.22,6.11,3.54,0.0,0.67,1.22,1.33,0.78,0.44,0.22,0.22,0.11,1.0,0.89,0.44,
c4981f56-93a2-47b1-8d31-4e8635f45e1d,Austin Reaves,Austin,Reaves,G,SG,15,sr:player:1168578,1630559,64,22,1843.0,259,490,0.529,173,274,0.631,86,216,0.398,19,229,265,0.864,33,160,193,215,99,2.17,33,19,108,1,833,0,0,0,0,606.6,0.687,927,81,99,0.818,24,55,0.436,16.26,119,296,148,218,0.679,0.616,1,0,236,8,144,76,56,0.737,0,0.524,70,42,22,4378,4592,0,28.8,13.0,0.52,2.5,3.02,3.4,0.52,0.3,1.55,1.69,0.0,0.3,4.05,7.66,1.34,3.38,3.58,4.14,2.7,4.28,14.48,9.48,1.86,2.31,3.41,4.63,3.69,0.13,2.25,1.19,0.88,1.09,0.66,0.34,
cae1e67f-229e-46c8-851a-571d728ae315,Cole Swider,Cole,Swider,F,SF,,sr:player:1593930,1631306,7,0,41.0,3,9,0.333,0,1,0.0,3,8,0.375,0,0,0,0.0,1,6,7,4,0,0.0,0,0,3,0,9,0,0,0,0,9.0,0.5,14,0,0,0.0,0,0,0.0,9.32,0,0,0,1,0.0,0.5,0,0,1,0,0,0,0,0.0,0,0.0,0,0,0,103,106,0,5.9,1.3,0.14,0.86,1.0,0.6,0.0,0.0,0.0,0.43,0.0,0.0,0.43,1.29,0.43,1.14,0.0,0.0,0.0,0.14,2.0,1.29,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
d1a3371b-8e83-4e52-910d-82e67efb64dd,Juan Toscano-Anderson,Juan,Toscano-Anderson,F,SF,,sr:player:1894116,1629308,30,7,365.0,33,66,0.5,29,46,0.63,4,20,0.2,6,11,15,0.733,14,47,61,25,17,1.47,10,7,46,0,81,1,0,0,0,72.6,0.558,130,22,26,0.846,2,5,0.4,10.43,11,54,27,42,0.643,0.53,0,0,21,5,18,10,8,0.8,0,0.286,6,7,2,882,797,0,12.2,2.7,0.47,1.57,2.03,0.8,0.33,0.23,0.57,1.53,0.03,0.2,1.1,2.2,0.13,0.67,0.37,0.5,0.97,1.53,4.33,2.42,0.37,0.9,1.4,1.8,0.7,0.17,0.6,0.33,0.27,0.2,0.23,0.07,
d3392ee6-cbe4-419e-bbd5-1b658d83e10e,Malik Beasley,Malik,Beasley,G,SG,5,sr:player:996295,1627736,26,14,621.0,105,268,0.392,39,81,0.481,66,187,0.353,6,13,21,0.619,8,78,86,31,30,1.03,21,1,32,0,289,1,0,0,0,277.24,0.521,227,14,17,0.824,4,23,0.174,21.01,47,70,35,58,0.603,0.515,0,0,14,2,60,34,22,0.647,0,0.269,20,26,7,1477,1461,0,23.9,11.1,0.31,3.0,3.31,1.2,0.81,0.04,1.15,1.23,0.04,0.23,4.04,10.31,2.54,7.19,0.5,0.81,1.5,3.12,8.73,10.66,1.81,1.35,2.23,2.69,0.54,0.08,2.31,1.31,0.85,0.77,1.0,0.27,
d58cf16b-7bf5-4fed-8b1e-61bad46fa43e,Lonnie Walker IV,Lonnie,Walker,G,SG,,sr:player:1304676,1629022,56,32,1297.0,236,527,0.448,145,278,0.522,91,249,0.365,21,91,106,0.858,14,95,109,64,46,1.39,30,17,71,0,654,0,0,0,0,573.64,0.57,522,79,118,0.669,27,68,0.397,20.29,97,236,118,210,0.562,0.534,0,0,69,4,124,100,53,0.53,0,0.375,41,40,15,3265,3058,0,23.2,11.7,0.25,1.7,1.95,1.1,0.54,0.3,0.82,1.27,0.0,0.38,4.21,9.41,1.63,4.45,1.63,1.89,2.59,4.96,9.32,10.24,1.73,2.11,3.75,4.21,1.23,0.07,2.21,1.79,0.95,0.73,0.71,0.27,IV
d63b17e9-59a5-44e0-9bf9-4ad454052b10,Kendrick Nunn,Kendrick,Nunn,G,PG,,sr:player:1499765,1629134,39,2,528.0,102,251,0.406,61,125,0.488,41,126,0.325,13,17,21,0.81,5,50,55,34,31,1.1,11,3,35,1,262,0,0,0,0,260.24,0.503,181,25,38,0.658,12,31,0.387,23.43,31,98,49,94,0.521,0.488,0,0,18,1,39,32,16,0.5,0,0.368,16,19,7,1277,1256,0,13.5,6.7,0.13,1.28,1.41,0.9,0.28,0.08,0.79,0.9,0.0,0.33,2.62,6.44,1.05,3.23,0.44,0.54,1.56,3.21,4.64,6.67,0.79,1.26,2.41,2.51,0.46,0.03,1.0,0.82,0.41,0.41,0.49,0.18,
dbf09e15-1cd8-434e-acda-9527735ef4d6,D'Angelo Russell,D'Angelo,Russell,G,PG,1,sr:player:852034,1626156,17,17,526.0,107,221,0.484,61,110,0.555,46,111,0.414,6,36,49,0.735,7,43,50,103,39,2.64,10,8,23,0,296,0,0,0,0,242.56,0.61,301,31,43,0.721,14,29,0.483,22.73,39,94,47,80,0.588,0.588,2,0,42,0,66,40,25,0.625,0,0.647,28,17,11,1183,1326,0,30.9,17.4,0.41,2.53,2.94,6.1,0.59,0.47,2.29,1.35,0.0,0.35,6.29,13.0,2.71,6.53,2.12,2.88,3.59,6.47,17.71,14.27,2.29,2.76,4.71,5.53,2.47,0.0,3.88,2.35,1.47,1.65,1.0,0.65,
df62b7c5-faaa-4f37-a716-b7e034aa03eb,Scotty Pippen Jr.,Scotty,Pippen,G,PG,1,sr:player:1831704,1630590,6,0,32.0,4,12,0.333,3,9,0.333,1,3,0.333,2,5,9,0.556,2,2,4,2,2,1.0,2,1,3,0,14,0,0,0,0,15.96,0.439,9,2,4,0.5,0,3,0.0,23.84,1,6,3,6,0.5,0.375,0,0,6,0,0,1,0,0.0,0,0.0,1,2,0,60,59,0,5.3,2.3,0.33,0.33,0.67,0.3,0.33,0.17,0.33,0.5,0.0,0.33,0.67,2.0,0.17,0.5,0.83,1.5,0.5,1.5,1.5,2.66,0.17,0.5,1.0,1.0,1.0,0.0,0.0,0.17,0.0,0.17,0.33,0.0,Jr.
e872cdaf-5d04-45c2-bbfe-d673f3fb26ce,Max Christie,Max,Christie,G,SG,12,sr:player:2216844,1631108,41,3,512.0,44,106,0.415,18,44,0.409,26,62,0.419,6,14,16,0.875,7,68,75,21,13,1.62,9,7,33,0,128,0,0,0,0,113.04,0.566,163,7,16,0.438,6,13,0.462,10.45,13,24,12,31,0.387,0.538,0,0,10,1,31,20,10,0.5,0,0.182,6,11,2,1251,1174,0,12.5,3.1,0.17,1.66,1.83,0.5,0.22,0.17,0.32,0.8,0.0,0.15,1.07,2.59,0.63,1.51,0.34,0.39,0.44,1.07,3.98,2.76,0.32,0.29,0.76,0.59,0.24,0.02,0.76,0.49,0.24,0.15,0.27,0.05,
ea8826b8-1f76-4eab-b61e-ffcb176880f3,Anthony Davis,Anthony,Davis,F-C,PF,3,sr:player:608216,203076,56,54,1904.0,542,962,0.563,523,888,0.589,19,74,0.257,58,348,444,0.784,195,507,702,148,122,1.21,59,114,146,1,1451,1,0,0,0,1157.36,0.627,1836,293,372,0.788,80,197,0.406,28.54,187,886,443,691,0.641,0.573,40,0,329,25,102,52,41,0.788,0,0.637,287,168,107,4443,4648,0,34.0,25.9,3.48,9.05,12.54,2.6,1.05,2.04,2.18,2.61,0.02,1.04,9.68,17.18,0.34,1.32,6.21,7.93,9.34,15.86,32.79,20.67,3.34,7.91,12.34,15.82,5.88,0.45,1.82,0.93,0.73,5.13,3.0,1.91,
